index,Location,Metrics,Model Category,Model,y
101,S4,R2,HY,RNN LSTM GRU,0.9981064404375836
102,S4,R2,HY,CNN RNN GRU,0.9800166279364676
103,S4,R2,HY,CNN GRU,0.9792718228892916
104,S4,R2,HY,RNN GRU,0.999435328503654
105,S4,R2,HY,RNN LSTM,1.0
106,S4,R2,MA HY,CNN LSTM,0.8629593016400066
107,S4,R2,MA HY,RNN LSTM GRU,0.9289312059824648
108,S4,R2,MA HY,CNN RNN GRU,0.8052784849374746
109,S4,R2,MA HY,CNN GRU,0.656146781261721
110,S4,R2,MA HY,RNN GRU,0.9543925915206112
111,S4,R2,MA HY,RNN LSTM,0.9008890704048764
